_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6851b3ae0af9eada72c5503e,,71.58,95.85,75.18,72,179;0;3;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184878000
6851b38d0af9eada72c54ef9,,72.4,95.79,74.4,77.55,181;2;1;0,time,30,-1,2,30,0,33.98,false,false,english,,normal,false,false,false,,1750184845000
6851b3410af9eada72c54bae,,72,97.3,72,72.52,180;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184769000
6851b31f0af9eada72c54a4a,,60.8,89.62,71.6,73.79,152;9;2;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184735000
6851b2fe0af9eada72c548ef,,68.38,94.09,71.17,75.22,171;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184702000
6851b2dd0af9eada72c5478d,,59.6,91.76,66.4,67.68,149;2;5;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184669000
6851b2bc0af9eada72c5461b,,59.6,85.41,70.8,73.83,149;13;2;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184636000
6851b2980af9eada72c54462,,73.58,92.12,78.78,76.58,184;7;1;1,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184600000
6851b2130af9eada72c53eab,,67.99,92.78,73.58,75.8,170;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184467000
6851b1f10af9eada72c53d4a,true,75.15,96.95,77.55,76.51,188;1;1;0,time,30,-1,0,30.02,0,0,false,false,english,,normal,false,false,false,,1750184433000
6851b1cf0af9eada72c53be5,,66.77,94.09,73.17,72.88,167;3;2;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184399000
6851b1ad0af9eada72c53a71,,68.4,97.19,68.8,69.56,171;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184365000
6851b18d0af9eada72c53937,,60,91.43,69.2,68.37,150;7;3;0,time,30,-1,0,30,1,0,false,false,english,,normal,false,false,false,,1750184333000
6851b16c0af9eada72c537de,,65.98,93.3,69.98,71.47,165;5;1;1,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184300000
6851b1490af9eada72c53644,,67.6,94.21,72.8,68.08,169;2;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184265000
6851b0f80af9eada72c532bc,true,72.77,97.4,75.97,79.19,182;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184184000
6851b0d70af9eada72c5317a,,70,96.2,70,70.02,175;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184151000
6851b0b40af9eada72c52fee,true,71.6,95.77,73.2,76.05,179;2;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184116000
6851b07b0af9eada72c52d80,,63.59,93.75,64.79,68.35,159;1;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1750184059000
6851b0510af9eada72c52bc5,true,71.18,96.76,71.18,65.97,178;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1750184017000
